cell_type,marker
B_cells,HIST1H3J
B_cells,ADAM19
B_cells,CCDC50
B_cells,CAMK1D
B_cells,RHCG
B_cells,INPP5D
B_cells,TCF3
B_cells,MMP7
B_cells,ARID5B
B_cells,UPF2
B_cells,METTL25
B_cells,NSA2
B_cells,ZDHHC21
B_cells,MRPL24
B_cells,SRP14-AS1
B_cells,ALKBH7
B_cells,RNASEH2B
B_cells,REXO1
B_cells,C2orf88
B_cells,AL928768.3
B_cells,15-Sep
B_cells,IFNGR2
B_cells,CEPT1
B_cells,PLEKHF2
B_cells,IGHV3-15
B_cells,IGHG1
B_cells,MICAL3
B_cells,KLHL14
B_cells,IGHM
B_cells,CD40
B_cells,JCHAIN
B_cells,EVI2B
B_cells,SLC2A6
B_cells,TRAF3
B_cells,QRSL1
B_cells,DNAJC5B
B_cells,KIAA0226L
B_cells,COQ4
B_cells,FAM129C
B_cells,NXPH4
B_cells,BTK
B_cells,SELL
B_cells,PEG10
B_cells,CYB5RL
B_cells,CNR2
B_cells,LGR4
B_cells,CD74
B_cells,RPL22L1
B_cells,RCL1
B_cells,GLDC
B_cells,PARP15
B_cells,APOM
B_cells,UGT8
B_cells,TMEM154
B_cells,SRM
B_cells,SLC1A4
B_cells,UQCRH
B_cells,ID3
B_cells,DRAM2
B_cells,PAWR
B_cells,DDX11
B_cells,FAM177B
B_cells,KLF13
B_cells,TMEM156
B_cells,SAV1
B_cells,BCAS4
B_cells,HLA-DQA1
B_cells,ASB15
B_cells,GPD1
B_cells,ANKRD13A
B_cells,FCRL5
B_cells,HLA-DRA
B_cells,BCL7A
B_cells,CD82
B_cells,CSNK1E
B_cells,MTCH2
B_cells,ZNF92
B_cells,SYVN1
B_cells,FGD2
B_cells,TPD52
B_cells,TPD52
B_cells,TAF7
B_cells,MARCKSL1
B_cells,PHACTR1
B_cells,NPIPB15
B_cells,EEF1B2
B_cells,BMP8B
B_cells,SIDT1
B_cells,CNKSR1
B_cells,HLA-DQA1
B_cells,RRAS2
B_cells,COL19A1
B_cells,TSHR
B_cells,MOB3B
B_cells,MRPS16
B_cells,MYCBP2
B_cells,LCN8
B_cells,NUP88
B_cells,GPR183
B_cells,AFF3
B_cells,TMUB2
B_cells,CD74
B_cells,PIGR
B_cells,OSBPL10-AS1
B_cells,IARS
B_cells,IFNG-AS1
B_cells,IGF1
B_cells,TSPAN3
B_cells,TSPAN1
B_cells,IRF8
B_cells,RBBP7
B_cells,FCRL1
B_cells,LGALS3BP
B_cells,EGFL7
B_cells,CINP
B_cells,SNHG19
B_cells,AKR1C1
B_cells,SEL1L3
B_cells,C16orf87
B_cells,STAG3
B_cells,HLA-DMB
B_cells,FAM159A
B_cells,HLA-DPB1
B_cells,SEMA4B
B_cells,FUT8
B_cells,NUDT6
B_cells,CXCR5
B_cells,DNAL1
B_cells,PLAC8
B_cells,PTOV1
B_cells,AHCYL1
B_cells,BEND5
B_cells,GGA2
B_cells,SP140
B_cells,SP140
B_cells,MIXL1
B_cells,SNX22
B_cells,SIPA1L3
B_cells,ZBTB32
B_cells,ABCB4
B_cells,ALG8
B_cells,PPM1K
B_cells,CHPF
B_cells,ANAPC5
B_cells,HSP90AB1
B_cells,UBE2J1
B_cells,SYNPO
B_cells,CTA-293F17.1
B_cells,PRDM4
B_cells,PLEKHF2
B_cells,FCRL2
B_cells,THY1
B_cells,ENAM
B_cells,GNB5
B_cells,RHOBTB2
B_cells,SMCHD1
B_cells,LYPLA1
B_cells,C1orf132
B_cells,BTNL9
B_cells,CD79A
B_cells,ZNF296
B_cells,ZNF791
B_cells,BET1L
B_cells,6-Sep
B_cells,SP140L
B_cells,PKIG
B_cells,IGHA2
B_cells,CD200
B_cells,MICAL3
B_cells,IGHG3
B_cells,C1GALT1
B_cells,TASP1
B_cells,CH17-353B19.1
B_cells,ST6GALNAC4
B_cells,GEMIN7
B_cells,SIDT2
B_cells,ING5
B_cells,HLA-DQB1
B_cells,HLA-DQB2
B_cells,HLA-DRA
B_cells,MS4A1
B_cells,FCRL2
B_cells,HIST1H4C
B_cells,GOLPH3L
B_cells,ZNF532
B_cells,RHOH
B_cells,ZNF107
B_cells,FAM177B
B_cells,ODC1
B_cells,GNG7
B_cells,EBLN3
B_cells,SSPN
B_cells,TCL1A
B_cells,CXCR5
B_cells,ARL3
B_cells,CNPY3
B_cells,SNHG8
B_cells,BASP1
B_cells,ACSM2B
B_cells,ERP29
B_cells,STAG3
B_cells,TCL1A
B_cells,HLA-DPA1
B_cells,IGHA1
B_cells,1-Mar
B_cells,NIPAL4
B_cells,BCL11A
B_cells,SH2B2
B_cells,UVRAG
B_cells,HLA-DRA
B_cells,PKIG
B_cells,WNT16
B_cells,LYL1
B_cells,CR1
B_cells,CR2
B_cells,TEX9
B_cells,LAMC1
B_cells,IFT57
B_cells,CLECL1
B_cells,BCL7A
B_cells,CNR1
B_cells,HLA-DRB5
B_cells,HLA-DRB5
B_cells,HLA-DQB1
B_cells,MS4A1
B_cells,NOC3L
B_cells,SWAP70
B_cells,TIPIN
B_cells,IGHE
B_cells,MYO1D
B_cells,UBE2N
B_cells,TRIM38
B_cells,CEP120
B_cells,EBLN3
B_cells,DENND5B
B_cells,ZNF532
B_cells,UVRAG
B_cells,P2RX5-TAX1BP3
B_cells,PNOC
B_cells,FAM213A
B_cells,CASP2
B_cells,ECSIT
B_cells,HVCN1
B_cells,HLA-DRB1
B_cells,SLC6A19
B_cells,GEN1
B_cells,MZB1
B_cells,CD24
B_cells,CD24
B_cells,COL4A4
B_cells,ARHGAP24
B_cells,RAD50
B_cells,MT1E
B_cells,IGHD
B_cells,OAZ1
B_cells,LYRM4
B_cells,FBL
B_cells,KHDRBS2
B_cells,WBP5
B_cells,CD19
B_cells,CD20
B_cells,CD19
B_cells,CD20
B_cells,ab31947
B_cells,CD19
B_cells,Abcam
B_cells,CD20
B_cells,CD19
B_cells,CD20
B_cells,CD21
B_cells,MS4A1
B_cells,ITM2C
B_cells,HLA-DPB1
B_cells,CD79B
B_cells,IGHG2
B_cells,CD79A
B_cells,MZB1
B_cells,MS4A1
B_cells,Fcmr
B_cells,Ebf1
B_cells,Cd19
B_cells,Fcrl1
B_cells,Siglecg
B_cells,Cd22
B_cells,Ly6d
B_cells,Ms4a1
B_cells,Cd79b
B_cells,Cd79a
B_cells,CD20
B_cells,CD79A
B_cells,MS4A1
B_cells,Cd79a
B_cells,CD20
B_cells,CD20
B_cells,CD20
B_cells,CD24
B_cells,CD20
B_cells,CD45RO
B_cells,CD19
B_cells,CD20
B_cells,CD79a
B_cells,CD20
B_cells,CD20
B_cells,CD80
B_cells,CD86
B_cells,CD19
B_cells,CD19
B_cells,CD20
B_cells,CD19
B_cells,CD20
B_cells,CD20
B_cells,CD19
B_cells,CD20
B_cells,IGH1
B_cells,IGHD
B_cells,MS4A1
B_cells,CD79B
B_cells,CD79A
B_cells,BANK1
B_cells,CD19
B_cells,PAX5
B_cells,CD79B
B_cells,RALY
B_cells,HMGB2
B_cells,HMGB1
B_cells,CD79A
B_cells,CD19
B_cells,CD79A
B_cells,MS4A127
B_cells,CD19
B_cells,TCL1A
B_cells,CD19
B_cells,CD20
B_cells,CD79A
B_cells,CD79A
B_cells,MZB1
B_cells,CD20
B_cells,MS4A1
B_cells,CD79A
B_cells,CD19
B_cells,MS4A1
B_cells,MS4A1
B_cells,IGHG1
B_cells,IGHG3
B_cells,MZB1
B_cells,JCHAIN
B_cells,IGHG2
B_cells,CD20
B_cells,CD19
B_cells,CD19
B_cells,CD79A
B_cells,CD19
B_cells,MS4A1
B_cells,CD79A
B_cells,CD19
B_cells,CD79B
B_cells,CD79A
B_cells,IGHG1
B_cells,IGHM
B_cells,IGHA1
B_cells,CD19
B_cells,CD79A
B_cells,MS4A1
B_cells,CD24
B_cells,MS4A1
B_cells,CD79A
B_cells,CD19
B_cells,CD79B
B_cells,FCRL2
B_cells,TCL1A
B_cells,TNFRSF17
B_cells,SPIB
B_cells,CD19
B_cells,MA4A1
B_cells,PNOC
B_cells,BLK
B_cells,CD19
B_cells,CD79B
B_cells,CD79A
B_cells,CD79B
B_cells,CD79A
B_cells,MS4A1
B_cells,IGKC
B_cells,JCHAIN
B_cells,IGHG1
B_cells,CD79A
B_cells,MS4A1
B_cells,CD79A
B_cells,CD19
B_cells,MS4A1
B_cells,Ighm
B_cells,Il10
B_cells,Cd5
B_cells,Itgam
B_cells,CD19
B_cells,IGKC
B_cells,PTPRCAP
B_cells,IGHA1
B_cells,CD79A
B_cells,MS4A1
B_cells,IGHG3
B_cells,TNFRSF17
B_cells,IGHM
B_cells,CD20
B_cells,CD79A
B_cells,MS4A1
B_cells,CD19
B_cells,CD19
B_cells,CD79A
B_cells,CD20
B_cells,MS4A1
B_cells,CD19
B_cells,CD20
B_cells,IGHG1
B_cells,MS4A1
B_cells,IGHA1
B_cells,Bank1
B_cells,CD19
B_cells,CD79A
B_cells,MS4A1
B_cells,CD19
B_cells,CD80
B_cells,CD27
B_cells,CD138
B_cells,B2M
B_cells,CTLA4
B_cells,CD38
B_cells,MS4A1
B_cells,CD86
B_cells,CD22
B_cells,CD20
B_cells,CD21
B_cells,CD19
B_cells,CD23
B_cells,CD32
B_cells,CD80
B_cells,CD21
B_cells,CD20
B_cells,CD23
B_cells,CD20
B_cells,PAX5
B_cells,BOB-1
B_cells,PAX5
B_cells,2-Oct
B_cells,PAX5
B_cells,CD19
B_cells,IgM
B_cells,CD27
B_cells,RFX7
B_cells,RHOA
B_cells,HNRNDP
B_cells,TP53
B_cells,SMARCA4
B_cells,FBXO11
B_cells,ID3
B_cells,TFAP4
B_cells,GNAI2
B_cells,GNA13
B_cells,E2F2
B_cells,CCND3
B_cells,TCF3
B_cells,MYC
B_cells,FOXO1
B_cells,ADNP
B_cells,ARID1A
B_cells,DDX3X
B_cells,PCBP1
B_cells,CD19
B_cells,CD20
B_cells,CD21
B_cells,CD19
B_cells,CD79A
B_cells,CD20
B_cells,CD22
B_cells,CD79B
B_cells,B-cell-specific activator protein (BSAP)
B_cells,BSAP
B_cells,CD74
B_cells,CD20
B_cells,CD86
B_cells,CD74
B_cells,CD80
B_cells,BLA36
B_cells,CD20
B_cells,BLA36
B_cells,CD80
B_cells,CD86
B_cells,CD40
B_cells,CD40
B_cells,CD19
B_cells,CD20
B_cells,CD79a
B_cells,AID
B_cells,CD10
B_cells,BCL6
B_cells,CD19
B_cells,MS4A1
B_cells,CD19
B_cells,CD79a
B_cells,Ms4a1
B_cells,Cd19
B_cells,Ptprc
B_cells,Cd22
B_cells,CD69
B_cells,CD79A
B_cells,MS4A1
B_cells,MS4A1
B_cells,MS4A1
B_cells,CD79A
B_cells,CD19
B_cells,CD22
B_cells,CD19
B_cells,CXCL13
B_cells,CD72
B_cells,BLK
B_cells,CD798
B_cells,CD38
B_cells,CD19
B_cells,CD20
B_cells,B cell
B_cells,CD19
B_cells,CD19
B_cells,CD20
B_cells,CD79B
B_cells,MS4A1
B_cells,CD79A
B_cells,IGKC
B_cells,CD79A
B_cells,CD19
B_cells,CD79B
B_cells,CD79A
B_cells,BANK1
B_cells,MS4A1
B_cells,MS4A1
B_cells,CD79A
B_cells,IGLC2
B_cells,IGHG4
B_cells,IGKC
B_cells,IGLC3
B_cells,JCHAIN
B_cells,CD52
B_cells,CD79B
B_cells,CD79A
B_cells,MS4A1
B_cells,CD20
B_cells,CD19
B_cells,TTR
B_cells,REG1A
B_cells,IAPP
B_cells,GCG
B_cells,INS
B_cells,PPY
B_cells,SST
B_cells,CD79A
B_cells,MS4A1
B_cells,CD19
B_cells,BLK
B_cells,CD22
B_cells,CR2
B_cells,CD19
B_cells,CD19
B_cells,MS4A1
B_cells,CD24
B_cells,CD14
B_cells,CD40
B_cells,CD20
B_cells,HLADR
B_cells,CD79B
B_cells,CD79A
B_cells,CD19
B_cells,MS4A1
B_cells,CD20
B_cells,MS4A1
B_cells,CD79A
B_cells,BLNK
B_cells,CD19
B_cells,CD79B
B_cells,MS4A1
B_cells,CD20
B_cells,CD79A
B_cells,CD20
B_cells,CD19
B_cells,MS4A1
B_cells,CD19
B_cells,IGHG2
B_cells,JCHAIN
B_cells,IGHG1
B_cells,CD20
B_cells,MS4A1
B_cells,IGJ
B_cells,CD79A
B_cells,IGLL5
B_cells,MS4A1
B_cells,CD79A
B_cells,TCL1A
B_cells,MS4A1
B_cells,CD19
B_cells,IL-20
B_cells,JCHAIN
B_cells,IGHG1
B_cells,FCER2
B_cells,TBX21
B_cells,IGHD
B_cells,ITGAX
B_cells,CD27
B_cells,CD19
B_cells,MS4A1
B_cells,LAG3
B_cells,CD38
B_cells,VCAM1
B_cells,CD27
B_cells,CD79A
B_cells,MS4A1A
B_cells,CD23
B_cells,IL4R
B_cells,CD27
B_cells,CD20
B_cells,CD21
B_cells,CD3
B_cells,CD19
B_cells,CD19
B_cells,CD79A
B_cells,CD19
B_cells,HLA-DR
B_cells,CD20
B_cells,CD79A
B_cells,MZB1
B_cells,JCHAIN
B_cells,IGLL1
B_cells,CD20
B_cells,MS4A1
B_cells,CD79A
B_cells,IGKC
B_cells,CD19
B_cells,CR2
B_cells,MS4A1
B_cells,CD22
B_cells,CD79A
B_cells,BANK1
B_cells,FCRL2
B_cells,PAX5
B_cells,CD45RA
B_cells,CD19
B_cells,CD20
B_cells,CD38
B_cells,CD19
B_cells,CD19
B_cells,MS4A1
B_cells,CD79A
B_cells,CD19
B_cells,CD20
B_cells,CD19
B_cells,CD1C
B_cells,CR1
B_cells,CR2
B_cells,MS4A1
B_cells,IGHG3
B_cells,CD79A
B_cells,EBF1
B_cells,IGHA2
B_cells,CD19
B_cells,CD79A
B_cells,CD20
B_cells,CD19
B_cells,MS4A1
B_cells,BLK
B_cells,CD79B
B_cells,CD19
B_cells,BANK1
B_cells,CD79A
B_cells,MS4A1
B_cells,PTPRC
B_cells,CD19
B_cells,CD79A
B_cells,TCL1A
B_cells,MS4A1
B_cells,SPIB
B_cells,CD19
B_cells,KIAA0125
B_cells,SLC15A2
B_cells,DTNB
B_cells,HLA-DOB
B_cells,FAM30A
B_cells,OSBPL10
B_cells,COCH
B_cells,IGHA1
B_cells,IGHG1
B_cells,SCN3A
B_cells,BLK
B_cells,GNG7
B_cells,CR2
B_cells,BACH2
B_cells,MEF2C
B_cells,CD72
B_cells,GLDC
B_cells,MICAL3
B_cells,TNFRSF17
B_cells,IGKC
B_cells,PNOC
B_cells,CCR9
B_cells,IGL@
B_cells,BCL11A
B_cells,FCRL2
B_cells,ABCB4
B_cells,QRSL1
B_cells,BLNK
B_cells,IGHM
B_cells,CD20
B_cells,J-chain
B_cells,CD79A
B_cells,CD79A
B_cells,IGJ
B_cells,MZB1
B_cells,IGLL5
B_cells,DERL3
B_cells,CD19
B_cells,MS4A1
B_cells,IGHM
B_cells,CD20
B_cells,CD20
B_cells,RALGPS2
B_cells,CD45
B_cells,CD19
B_cells,CD79A
B_cells,IGHD
B_cells,CD79A
B_cells,MS4A1
B_cells,IGHM
B_cells,CD79B
B_cells,CD20
B_cells,CD79a
B_cells,MS4A1
B_cells,CD79A
B_cells,IGKC
B_cells,CD74
B_cells,CD79B
B_cells,CD75
B_cells,CD23
B_cells,CD20
B_cells,CD40
B_cells,CD21
B_cells,MS4A1
B_cells,CD19
B_cells,CD83
B_cells,CXCR4
B_cells,AICDA
B_cells,BCL2A1
B_cells,IFI44L
B_cells,XAF1
B_cells,MX1
B_cells,BCR
B_cells,CD2
B_cells,CD5
B_cells,CD9
B_cells,CD14
B_cells,CD19
B_cells,CD22
B_cells,CD27
B_cells,CD80
B_cells,CD86
B_cells,CD34
B_cells,CD38
B_cells,CD40
B_cells,CD48
B_cells,CD68
B_cells,CD69
B_cells,CD70
B_cells,CD81
B_cells,CCR10
B_cells,CXCR3
B_cells,ZAP70
B_cells,CD84
B_cells,CD83
B_cells,CD163
B_cells,CD24
B_cells,CD185
B_cells,CD20
B_cells,CD39
B_cells,CD194
B_cells,CD196
B_cells,CD35
B_cells,CD21
B_cells,CD115
B_cells,CD152
B_cells,CD23
B_cells,CD32
B_cells,CD16
B_cells,CD183
B_cells,CD25
B_cells,CD122
B_cells,CD126
B_cells,CD130
B_cells,CD127
B_cells,CD212
B_cells,CD137
B_cells,CD229
B_cells,CD10
B_cells,CD73
B_cells,CD279
B_cells,PD-1
B_cells,CD31
B_cells,B220
B_cells,CD45
B_cells,CD45R
B_cells,CD138
B_cells,CD62L
B_cells,CD43
B_cells,CD284
B_cells,CD218a
B_cells,CD267
B_cells,CD217
B_cells,CD319
B_cells,BAFF-R
B_cells,CD268
B_cells,CD192
B_cells,CD11b
B_cells,CD11c
B_cells,CD1c
B_cells,CD1d
B_cells,CD45RA
B_cells,CD45RO
B_cells,CD49d
B_cells,CD78
B_cells,CD79a
B_cells,CD79b
B_cells,Flt3
B_cells,IgM
B_cells,IL-13alpha1
B_cells,IL-21R
B_cells,MHC class II
B_cells,RAG
B_cells,IgD
B_cells,OX40L
B_cells,MB2
B_cells,CD19
B_cells,CD10
B_cells,PAX5
B_cells,BSAP
B_cells,CD20
B_cells,CD305
B_cells,CD102
B_cells,CD31
B_cells,CD97
B_cells,CD317
B_cells,CD63
B_cells,CD18
B_cells,CD157
B_cells,CD217
B_cells,CD19
B_cells,CD10
B_cells,CD20
B_cells,CD20
B_cells,CD150
B_cells,FMC7
B_cells,CD37
B_cells,CCR7
B_cells,CD62L
B_cells,CD40
B_cells,CD73
B_cells,CD19
B_cells,JCHAIN
B_cells,CD19
B_cells,CD79A
B_cells,CD3E
B_cells,CD20
B_cells,CD19
B_cells,CD38
B_cells,CD27
B_cells,IgD
B_cells,CD45
B_cells,CD19
B_cells,MS4A1
B_cells,CD79A
B_cells,MS4A1
B_cells,CD19
B_cells,CD79B
B_cells,CD79A
B_cells,EBF1
B_cells,FOXO1
B_cells,GABPB1
B_cells,PTPRC
B_cells,ITGA4
B_cells,NFKB1
B_cells,ITGB1
B_cells,CD27
B_cells,SOX4
B_cells,CD19
B_cells,SDC1
B_cells,PAX5
B_cells,LEF1
B_cells,CD320
B_cells,CR2
B_cells,CD40
B_cells,GFI1
B_cells,CD22
B_cells,TNFRSF13B
B_cells,IL7R
B_cells,TNF
B_cells,CD86
B_cells,MS4A1
B_cells,PRDM1
B_cells,TCF3
B_cells,CD81
B_cells,BCL11A
B_cells,CD1C
B_cells,STAT3
B_cells,PTPRJ
B_cells,IKZF3
B_cells,XBP1
B_cells,CD19
B_cells,CD20
B_cells,PAX5
B_cells,CD19
B_cells,MS4A1
B_cells,CD79a
B_cells,CD11b
B_cells,CD431
B_cells,CD25
B_cells,TNFR2
B_cells,CD71
B_cells,IL©\10
B_cells,CD271
B_cells,CD19
B_cells,hCD19
B_cells,CD23
B_cells,CD19
B_cells,CD5
B_cells,CD19
B_cells,CD79A
B_cells,CD79A
B_cells,CD19
B_cells,CD79A
B_cells,MS4A1
B_cells,CD79A
B_cells,MS4A1
B_cells,CD79B
B_cells,CD20
B_cells,CD19
B_cells,CD20
B_cells,CD20
B_cells,CD19
B_cells,MS4A1
B_cells,TNFRSF13C
B_cells,CD79A
B_cells,CD79A
B_cells,CD19
B_cells,CD19
CD8+_T_cells,STMN1
CD8+_T_cells,MKI67
CD8+_T_cells,GZMB
CD8+_T_cells,GZMK
CD8+_T_cells,GZMA
CD8+_T_cells,CD8B
CD8+_T_cells,IL14R
CD8+_T_cells,IL12R
CD8+_T_cells,PRF6
CD8+_T_cells,CD3D
CD8+_T_cells,CD8A
CD8+_T_cells,MKI67
CD8+_T_cells,GZMH
CD8+_T_cells,PRF9
CD8+_T_cells,IL10R
CD8+_T_cells,CD69
CD8+_T_cells,LAIR2
CD8+_T_cells,TOP2A
CD8+_T_cells,PRF4
CD8+_T_cells,IFNG
CD8+_T_cells,LAG3
CD8+_T_cells,CD8
CD8+_T_cells,CD3
CD8+_T_cells,CD30
CD8+_T_cells,CD8
CD8+_T_cells,CD56
CD8+_T_cells,CD3
CD8+_T_cells,CD8
CD8+_T_cells,CD3D
CD8+_T_cells,CD8
CD8+_T_cells,NKG7
CD8+_T_cells,CD4
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,GZMK
CD8+_T_cells,CD8A
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,CD8
CD8+_T_cells,CD3
CD8+_T_cells,CD3
CD8+_T_cells,CD8
CD8+_T_cells,CD8
CD8+_T_cells,CD3
CD8+_T_cells,CD8a
CD8+_T_cells,CD3
CD8+_T_cells,CD8
CD8+_T_cells,CD8
CD8+_T_cells,CD3
CD8+_T_cells,GWAS
CD8+_T_cells,CD27
CD8+_T_cells,ICOS
CD8+_T_cells,CD28
CD8+_T_cells,HLA-DR
CD8+_T_cells,MYC-1
CD8+_T_cells,TCR¦Â
CD8+_T_cells,ABO
CD8+_T_cells,Cdk7
CD8+_T_cells,Cdk9
CD8+_T_cells,Ctk1
CD8+_T_cells,Bur1
CD8+_T_cells,Kin28
CD8+_T_cells,Cdk12
CD8+_T_cells,CD8
CD8+_T_cells,CD3
CD8+_T_cells,CD8A
CD8+_T_cells,CD3D
CD8+_T_cells,CD38
CD8+_T_cells,HLA-DR
CD8+_T_cells,CD8
CD8+_T_cells,CD8A
CD8+_T_cells,CD3E
CD8+_T_cells,TLR10
CD8+_T_cells,TLR1
CD8+_T_cells,TLR6
CD8+_T_cells,CD8
CD8+_T_cells,MAL
CD8+_T_cells,CD28
CD8+_T_cells,THEMIS
CD8+_T_cells,AQP3
CD8+_T_cells,PRF1
CD8+_T_cells,PRDM1
CD8+_T_cells,ANK3
CD8+_T_cells,CD8B
CD8+_T_cells,ZBTB38
CD8+_T_cells,CST7
CD8+_T_cells,IKZF3
CD8+_T_cells,CD8A
CD8+_T_cells,CD8A
CD8+_T_cells,CD3G
CD8+_T_cells,CD8A
CD8+_T_cells,CD3D
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,FGFBP2
CD8+_T_cells,FCGR3A
CD8+_T_cells,CD3D
CD8+_T_cells,PTPRC
CD8+_T_cells,CD8A
CD8+_T_cells,CD8
CD8+_T_cells,CD8A
CD8+_T_cells,GZMA
CD8+_T_cells,CD8A
CD8+_T_cells,CD45
CD8+_T_cells,CD3
CD8+_T_cells,CD8a
CD8+_T_cells,CD8
CD8+_T_cells,CD3E
CD8+_T_cells,H1781
CD8+_T_cells,HER2
CD8+_T_cells,EFGF
CD8+_T_cells,CD8a
CD8+_T_cells,CD3
CD8+_T_cells,CD8A
CD8+_T_cells,CD3D
CD8+_T_cells,CD8a
CD8+_T_cells,LAG3
CD8+_T_cells,HAVCR2
CD8+_T_cells,PDCD1
CD8+_T_cells,HLA-DRA
CD8+_T_cells,CD3D
CD8+_T_cells,CD8A
CD8+_T_cells,CCR7
CD8+_T_cells,CCR7
CD8+_T_cells,SELL
CD8+_T_cells,GPR183
CD8+_T_cells,CD8A
CD8+_T_cells,CD8A
CD8+_T_cells,CD3D
CD8+_T_cells,CD8
CD8+_T_cells,CD8A
CD8+_T_cells,SELL
CD8+_T_cells,TCF7
CD8+_T_cells,CCR7
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,CD3E
CD8+_T_cells,CD8
CD8+_T_cells,CD3
CD8+_T_cells,CD8A
CD8+_T_cells,CD3E
CD8+_T_cells,CD4
CD8+_T_cells,CD8B
CD8+_T_cells,CCL4
CD8+_T_cells,NKG7
CD8+_T_cells,CD8A
CD8+_T_cells,CD8B
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,GVHD
CD8+_T_cells,CD3
CD8+_T_cells,HLA-B
CD8+_T_cells,HLA-II
CD8+_T_cells,HLA-A
CD8+_T_cells,HLA-C
CD8+_T_cells,CD8A
CD8+_T_cells,CD3D
CD8+_T_cells,CD28
CD8+_T_cells,CD3
CD8+_T_cells,CD8
CD8+_T_cells,CD8
CD8+_T_cells,TPSAB2
CD8+_T_cells,TPSAB1
CD8+_T_cells,CPA3
CD8+_T_cells,KIT
CD8+_T_cells,MS4A2
CD8+_T_cells,CD8A
CD8+_T_cells,MAL
CD8+_T_cells,CD8B
CD8+_T_cells,CST7
CD8+_T_cells,THEMIS
CD8+_T_cells,CD28
CD8+_T_cells,ANK3
CD8+_T_cells,IKZF3
CD8+_T_cells,PRF1
CD8+_T_cells,CD8A
CD8+_T_cells,ZBTB38
CD8+_T_cells,AQP3
CD8+_T_cells,PRDM1
CD8+_T_cells,PLCG2
CD8+_T_cells,CD3E
CD8+_T_cells,IL32
CD8+_T_cells,JUNB
CD8+_T_cells,IL7R
CD8+_T_cells,APC
CD8+_T_cells,CD160
CD8+_T_cells,CD8¦Á
CD8+_T_cells,CD45
CD8+_T_cells,CD3
CD8+_T_cells,CD8A
CD8+_T_cells,CCL5
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,MYC-1
CD8+_T_cells,CD8
CD8+_T_cells,CD3D
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,CD3E
CD8+_T_cells,CD3G
CD8+_T_cells,CD8
CD8+_T_cells,HLA-E
CD8+_T_cells,CXCL10
CD8+_T_cells,IDO1
CD8+_T_cells,HLA-DRA
CD8+_T_cells,CXCL9
CD8+_T_cells,STAT1
CD8+_T_cells,GZMB
CD8+_T_cells,GZMH
CD8+_T_cells,CD8A
CD8+_T_cells,CD8A
CD8+_T_cells,CD8A
CD8+_T_cells,CD3E
CD8+_T_cells,CD4
CD8+_T_cells,LAG3
CD8+_T_cells,CD8A
CD8+_T_cells,TRBC2
CD8+_T_cells,CD8
CD8+_T_cells,CD8A
CD8+_T_cells,IL2
CD8+_T_cells,CD8
CD8+_T_cells,CD3
CD8+_T_cells,CD103
CD8+_T_cells,CD39
CD8+_T_cells,CCT6A
CD8+_T_cells,TUBA1B
CD8+_T_cells,CD45
CD8+_T_cells,CD8
CD8+_T_cells,TCR?
CD8+_T_cells,CD8A
CD8+_T_cells,CD8A
CD8+_T_cells,CD8A
CD8+_T_cells,IL7R
CD8+_T_cells,TRBC2
CD8+_T_cells,CD3E
CD8+_T_cells,TRAC
CD8+_T_cells,TRAC
CD8+_T_cells,GZMK
CD8+_T_cells,CCL5
CD8+_T_cells,CD3D
CD8+_T_cells,CD3D
CD8+_T_cells,clone C8/144B
CD8+_T_cells,CD8
CD8+_T_cells,Dako
CD8+_T_cells,CD38
CD8+_T_cells,HLA-DR
CD8+_T_cells,TIM-3
CD8+_T_cells,CTLA-4
CD8+_T_cells,CD39
CD8+_T_cells,CD3
CD8+_T_cells,CD103
CD8+_T_cells,CD69
CD8+_T_cells,KLRG1
CD8+_T_cells,CD3E
CD8+_T_cells,IFNG
CD8+_T_cells,CD8A
CD8+_T_cells,PD-1
CD8+_T_cells,CD38
CD8+_T_cells,IL7R
CD8+_T_cells,TOX
CD8+_T_cells,MKI67
CD8+_T_cells,CCR4
CD8+_T_cells,PDCD1
CD8+_T_cells,CD69
CD8+_T_cells,CD3
CD8+_T_cells,CD8
CD8+_T_cells,CD103
CD8+_T_cells,CD69
CD8+_T_cells,CD8A
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,CD8A
CD8+_T_cells,CD8A
CD8+_T_cells,CD3D
CD8+_T_cells,CD103
CD8+_T_cells,CD4
CD8+_T_cells,CD8A
CD8+_T_cells,CD3E
CD8+_T_cells,FASLG
CD8+_T_cells,ITGA1
CD8+_T_cells,GZMK
CD8+_T_cells,JAML
CD8+_T_cells,GZMA
CD8+_T_cells,CXCR6
CD8+_T_cells,TRAC
CD8+_T_cells,CD3E
CD8+_T_cells,CD8A
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,CD8B
